Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional dual regulator Cra,Cra,cra,b0080,cra,TF,"crp,yeaD,cydB,cydA,csgG,csgF,csgE,csgD,betA,betB,betI,betT,poxB,mpl,tpiA,ppc,yibQ,envC,gpmM,glcC,fbaB,zwf,marR,marA,marB,cyoE,cyoD,cyoC,cyoB,cyoA,prpE,prpD,prpC,prpB,pdhR,aceE,aceF,lpd,sgrT,setA,sgrS,manX,manY,manZ,aroP,gapA,glk,eda,edd,mtlA,mtlD,mtlR,fbaA,pgk,epd,hypF,pdeL,eno,fruA,fruK,fruB,ppsA,pykF,icd,ptsH,ptsI,crr,acnB,acnA,adhE,pfkA,pck,aceB,aceA,aceK,nirB,nirD,nirC,cysG","b3357,b1780,b0734,b0733,b1037,b1038,b1039,b1040,b0311,b0312,b0313,b0314,b0871,b4233,b3919,b3956,b3614,b3613,b3612,b2980,b2097,b1852,b1530,b1531,b1532,b0428,b0429,b0430,b0431,b0432,b0335,b0334,b0333,b0331,b0113,b0114,b0115,b0116,b4662,b0070,b4577,b1817,b1818,b1819,b0112,b1779,b2388,b1850,b1851,b3599,b3600,b3601,b2925,b2926,b2927,b2712,b0315,b2779,b2167,b2168,b2169,b1702,b1676,b1136,b2415,b2416,b2417,b0118,b1276,b1241,b3916,b3403,b4014,b4015,b4016,b3365,b3366,b3367,b3368","yeaD,mpl,tpiA,ppc,yibQ,envC,gpmM,glcC,fbaB,zwf,marR,marA,marB,cyoE,cyoD,cyoC,cyoB,cyoA,prpE,prpD,prpC,prpB,pdhR,aceE,aceF,lpd,sgrT,setA,sgrS,manX,manY,manZ,gapA,glk,eda,edd,mtlA,mtlD,mtlR,fbaA,pgk,epd,hypF,pdeL,eno,fruA,fruK,fruB,pykF,ptsH,ptsI,crr,acnB,adhE,pfkA,nirB,nirD,nirC,cysG","b1780,b4233,b3919,b3956,b3614,b3613,b3612,b2980,b2097,b1852,b1530,b1531,b1532,b0428,b0429,b0430,b0431,b0432,b0335,b0334,b0333,b0331,b0113,b0114,b0115,b0116,b4662,b0070,b4577,b1817,b1818,b1819,b1779,b2388,b1850,b1851,b3599,b3600,b3601,b2925,b2926,b2927,b2712,b0315,b2779,b2167,b2168,b2169,b1676,b2415,b2416,b2417,b0118,b1241,b3916,b3365,b3366,b3367,b3368","crp,cydB,cydA,csgG,csgF,csgE,csgD,betA,betB,betI,betT,poxB,aroP,ppsA,icd,ptsH,ptsI,crr,acnA,pck,aceB,aceA,aceK","b3357,b0734,b0733,b1037,b1038,b1039,b1040,b0311,b0312,b0313,b0314,b0871,b0112,b1702,b1136,b2415,b2416,b2417,b1276,b3403,b4014,b4015,b4016"
DNA-binding transcriptional dual regulator SlyA,SlyA,slyA,b1642,slyA,TF,"rmf,rsd,pagP,leuO,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,slyA,mdtM,yjiN,sgcX,sgcB,sgcC,sgcQ,sgcA,sgcE,sgcR,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,elfA,casA,casB,casC,casD,casE,cas1,cas2,fecR,fecI,hlyE","b0953,b3995,b0622,b0076,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b1642,b4337,b4336,b4305,b4565,b4304,b4303,b4302,b4301,b4300,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b0938,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b4292,b4293,b1182","sgcX,sgcB,sgcC,sgcQ,sgcA,sgcE,sgcR,fecR,fecI","b4305,b4565,b4304,b4303,b4302,b4301,b4300,b4292,b4293","rmf,rsd,pagP,leuO,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,slyA,mdtM,yjiN,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,elfA,casA,casB,casC,casD,casE,cas1,cas2,hlyE","b0953,b3995,b0622,b0076,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b1642,b4337,b4336,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b0938,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b1182"
ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator,ZntR,zntR,b3292,zntR,TF,zntA,b3469,,,zntA,b3469
DNA-binding transcriptional activator UhpA-phosphorylated,UhpA,uhpA,b3669,uhpA,TF,uhpT,b3666,,,uhpT,b3666
DNA-binding transcriptional dual regulator FNR,Fnr,fnr,b1334,fnr,TF,"idlP,iraD,bidA,yibN,yffS,yfcZ,ydfO,ortT,ung,thrA,pykA,msrB,mltA,metV,garD,aroP,soxR,soxS,ravA,viaA,gnd,nac,zwf,gdhA,aspC,amtB,glnK,glnD,ydfZ,citG,citX,citF,citE,citD,citC,dpiA,dpiB,gapC,ycaC,scpC,scpB,argK,scpA,pdeF,fnrS,ydeJ,iraM,ybdN,ymjE,puuP,puuA,malQ,malP,narG,narH,narJ,narI,narS,narK,nirB,nirD,nirC,cysG,fnr,frdD,frdC,frdB,frdA,glpA,glpB,glpC,glpQ,glpT,katG,dmsA,dmsB,dmsC,nikR,nikA,nikB,nikC,nikD,nikE,hmp,focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,dcuB,acnA,adhE,hlyE,gadA,rnpB,garK,garR,garL,garP,rpsI,rplM,fhlA,hypB,hypC,hypD,hypE,tpx,caiF,fixX,fixC,fixB,fixA,pflB,focA,gltB,gltD,gltF,moeB,moeA,narL,narX,ccp,cadC,sodA,ansB,dppF,dppD,dppC,dppB,dppA,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,caiE,caiD,caiC,caiB,caiA,caiT,tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA,gcvP,gcvH,gcvT,fdhF,ndh,fumB,dcuA,aspA,purM,purN,prmC,prfA,hemA,cyoE,cyoD,cyoC,cyoB,cyoA,sdhC,sdhD,sdhA,sdhB,sdhX,sucA,sucB,sucC,sucD,fumC,fumA,phoU,pstB,pstA,pstC,pstS,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,arcA,aldA,ssuB,ssuC,ssuD,ssuA,ssuE,yeiL,cydC,cydD,rplS,trmD,rimM,rpsP,ackA,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,poxB,hcr,hcp,pheM,rplT,dmsD,ynfH,ynfG,ynfF,ynfE,ubiC,ubiA,uxaA,uxaC,nrdG,nrdD,norW,norV,uraA,upp,xdhB,xdhC,xdhA,cydB,cydA,emrY,emrK,gadW,gadX,aer,cheZ,cheY,cheB,cheR,tap,tar,dcuC,moaA,moaB,moaC,moaD,moaE,ybdZ,fes,entF,fepE,pitA,pepT,yecR,bcsZ,bcsB,acrE,acrF,dcuR,dcuS,feoC,feoA,feoB,ygbA,ysgA,nfeR,ychO,ompW,ompX,ytfE,pdhR,aceE,aceF,lpd,fdnG,fdnH,fdnI,grcA,ydhT,ydhU,ydhX,ydhW,ydhV,ydhY","b4722,b4326,b1593,b3611,b2450,b2343,b1549,b1445,b2580,b0002,b1854,b1778,b2813,b2816,b3128,b0112,b4063,b4062,b3746,b3745,b2029,b1988,b1852,b1761,b0928,b0451,b0450,b0167,b1541,b0613,b0614,b0615,b0616,b0617,b0618,b0620,b0619,b4493,b0897,b2920,b2919,b2918,b2917,b2503,b4699,b1537,b1160,b0602,b4742,b1296,b1297,b3416,b3417,b1224,b1225,b1226,b1227,b4813,b1223,b3365,b3366,b3367,b3368,b1334,b4151,b4152,b4153,b4154,b2241,b2242,b2243,b2239,b2240,b3942,b0894,b0895,b0896,b3481,b3476,b3477,b3478,b3479,b3480,b2552,b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b4123,b1276,b1241,b1182,b3517,b3123,b3124,b3125,b3126,b3127,b3230,b3231,b2731,b2727,b2728,b2729,b2730,b1324,b0034,b0044,b0043,b0042,b0041,b0903,b0904,b3212,b3213,b3214,b0826,b0827,b1221,b1222,b3518,b4133,b3908,b2957,b3540,b3541,b3542,b3543,b3544,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b0035,b0036,b0037,b0038,b0039,b0040,b4471,b3113,b3114,b3115,b3116,b3117,b3118,b2903,b2904,b2905,b4079,b1109,b4122,b4138,b4139,b2499,b2500,b1212,b1211,b1210,b0428,b0429,b0430,b0431,b0432,b0721,b0722,b0723,b0724,b4764,b0726,b0727,b0728,b0729,b1611,b1612,b3724,b3725,b3726,b3727,b3728,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b4401,b1415,b0933,b0934,b0935,b0936,b0937,b2163,b0886,b0887,b2606,b2607,b2608,b2609,b2296,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b0871,b0872,b0873,b1715,b1716,b1591,b1590,b1589,b1588,b1587,b4039,b4040,b3091,b3092,b4237,b4238,b2711,b2710,b2497,b2498,b2867,b2868,b2866,b0734,b0733,b2367,b2368,b3515,b3516,b3072,b1881,b1882,b1883,b1884,b1885,b1886,b0621,b0781,b0782,b0783,b0784,b0785,b4511,b0585,b0586,b0587,b3493,b1127,b1904,b3531,b3532,b3265,b3266,b4124,b4125,b3410,b3408,b3409,b2732,b3830,b3071,b1220,b1256,b0814,b4209,b0113,b0114,b0115,b0116,b1474,b1475,b1476,b2579,b1669,b1670,b1671,b1672,b1673,b1674","msrB,soxR,soxS,gnd,nac,zwf,ompW,aspC,amtB,glnK,glnD,citG,citX,citF,citE,citD,citC,dpiA,dpiB,gapC,ycaC,ymjE,puuP,puuA,fnr,hmp,focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA,acnA,gadA,rpsI,rplM,tpx,arcA,gltB,gltD,gltF,moeB,moeA,narL,narX,sodA,dppF,dppD,dppC,dppB,dppA,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,ndh,purM,purN,prmC,prfA,hemA,cyoE,cyoD,cyoC,cyoB,cyoA,sdhC,sdhD,sdhA,sdhB,sdhX,sucA,sucB,sucC,sucD,fumC,fumA,aldA,yeiL,rplS,trmD,rimM,rpsP,pheM,rplT,ubiC,ubiA,norW,norV,cydB,cydA,gadW,gadX,ygbA,ysgA,ychO,ompX,ytfE,pdhR,aceE,aceF,lpd,fdnG,fdnH,fdnI,grcA","b1778,b4063,b4062,b2029,b1988,b1852,b1256,b0928,b0451,b0450,b0167,b0613,b0614,b0615,b0616,b0617,b0618,b0620,b0619,b4493,b0897,b4742,b1296,b1297,b1334,b2552,b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481,b1276,b3517,b3230,b3231,b1324,b4401,b3212,b3213,b3214,b0826,b0827,b1221,b1222,b3908,b3540,b3541,b3542,b3543,b3544,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b1109,b2499,b2500,b1212,b1211,b1210,b0428,b0429,b0430,b0431,b0432,b0721,b0722,b0723,b0724,b4764,b0726,b0727,b0728,b0729,b1611,b1612,b1415,b2163,b2606,b2607,b2608,b2609,b1715,b1716,b4039,b4040,b2711,b2710,b0734,b0733,b3515,b3516,b2732,b3830,b1220,b0814,b4209,b0113,b0114,b0115,b0116,b1474,b1475,b1476,b2579","idlP,iraD,bidA,yibN,yffS,yfcZ,ydfO,ortT,ung,thrA,pykA,mltA,metV,garD,fnr,aroP,ravA,viaA,gdhA,aspC,amtB,glnK,glnD,ydfZ,scpC,scpB,argK,scpA,pdeF,fnrS,ydeJ,iraM,ybdN,malQ,malP,narG,narH,narJ,narI,narS,narK,nirB,nirD,nirC,cysG,frdD,frdC,frdB,frdA,glpA,glpB,glpC,glpQ,glpT,katG,dmsA,dmsB,dmsC,nikR,nikA,nikB,nikC,nikD,nikE,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,dcuB,adhE,hlyE,rnpB,garK,garR,garL,garP,cydB,cydA,fhlA,hypB,hypC,hypD,hypE,pdhR,aceE,aceF,lpd,caiF,fixX,fixC,fixB,fixA,pflB,focA,ccp,cadC,ansB,caiE,caiD,caiC,caiB,caiA,caiT,tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA,gcvP,gcvH,gcvT,fdhF,fdnG,fdnH,fdnI,fumB,dcuA,aspA,phoU,pstB,pstA,pstC,pstS,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,arcA,ssuB,ssuC,ssuD,ssuA,ssuE,cydC,cydD,ackA,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,poxB,hcr,hcp,dmsD,ynfH,ynfG,ynfF,ynfE,uxaA,uxaC,nrdG,nrdD,uraA,upp,xdhB,xdhC,xdhA,emrY,emrK,aer,cheZ,cheY,cheB,cheR,tap,tar,dcuC,moaA,moaB,moaC,moaD,moaE,grcA,ybdZ,fes,entF,fepE,pitA,pepT,yecR,bcsZ,bcsB,acrE,acrF,dcuR,dcuS,feoC,feoA,feoB,nfeR,ompW,ydhT,ydhU,ydhX,ydhW,ydhV,ydhY","b4722,b4326,b1593,b3611,b2450,b2343,b1549,b1445,b2580,b0002,b1854,b2813,b2816,b3128,b1334,b0112,b3746,b3745,b1761,b0928,b0451,b0450,b0167,b1541,b2920,b2919,b2918,b2917,b2503,b4699,b1537,b1160,b0602,b3416,b3417,b1224,b1225,b1226,b1227,b4813,b1223,b3365,b3366,b3367,b3368,b4151,b4152,b4153,b4154,b2241,b2242,b2243,b2239,b2240,b3942,b0894,b0895,b0896,b3481,b3476,b3477,b3478,b3479,b3480,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b4123,b1241,b1182,b3123,b3124,b3125,b3126,b3127,b0734,b0733,b2731,b2727,b2728,b2729,b2730,b0113,b0114,b0115,b0116,b0034,b0044,b0043,b0042,b0041,b0903,b0904,b3518,b4133,b2957,b0035,b0036,b0037,b0038,b0039,b0040,b4471,b3113,b3114,b3115,b3116,b3117,b3118,b2903,b2904,b2905,b4079,b1474,b1475,b1476,b4122,b4138,b4139,b3724,b3725,b3726,b3727,b3728,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b4401,b0933,b0934,b0935,b0936,b0937,b0886,b0887,b2296,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b0871,b0872,b0873,b1591,b1590,b1589,b1588,b1587,b3091,b3092,b4237,b4238,b2497,b2498,b2867,b2868,b2866,b2367,b2368,b3072,b1881,b1882,b1883,b1884,b1885,b1886,b0621,b0781,b0782,b0783,b0784,b0785,b2579,b4511,b0585,b0586,b0587,b3493,b1127,b1904,b3531,b3532,b3265,b3266,b4124,b4125,b3410,b3408,b3409,b3071,b1256,b1669,b1670,b1671,b1672,b1673,b1674"
biotin carboxyl carrier protein (dimer),AccB,accB,b3255,accB,TF,"accB,accC","b3255,b3256","accB,accC","b3255,b3256",,
DNA-binding transcriptional repressor TreR,TreR,treR,b4241,treR,TF,"treC,treB","b4239,b4240","treC,treB","b4239,b4240",,
DNA-binding transcriptional dual regulator / DNA repair protein Ada,Ada,ada,b2213,ada,TF,"alkB,ada,aidB,alkA","b2212,b2213,b4187,b2068","alkB,ada","b2212,b2213","alkB,ada,aidB,alkA","b2212,b2213,b4187,b2068"
DNA-binding transcriptional repressor MngR,MngR,mngR,b0730,mngR,TF,"mngB,mngA,mngR","b0732,b0731,b0730","mngB,mngA,mngR","b0732,b0731,b0730",,
antitoxin/DNA-binding transcriptional repressor HigA,HigA,higA,b3082,higA,TF,"higB,higA","b3083,b3082","higB,higA","b3083,b3082",,
DNA-binding transcriptional repressor PlaR,PlaR,plaR,b3574,plaR,TF,"ygjV,glpT,glpA,eda,plaR,yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK","b3090,b2240,b2241,b1850,b3574,b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575","ygjV,glpT,glpA,eda,plaR,yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK","b3090,b2240,b2241,b1850,b3574,b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575",,
DNA-binding transcriptional dual regulator BasR-phosphorylated,BasR,basR,b4113,basR,TF,"emrD,qseC,qseB,fimB,cspI,putA,tomB,hha,dgkA,waaH,arnF,arnE,arnT,arnD,arnA,arnC,arnB,eptA,csgG,csgF,csgE,csgD,yrbL","b3673,b3026,b3025,b4312,b1552,b1014,b0461,b0460,b4042,b3615,b2258,b4544,b2257,b2256,b2255,b2254,b2253,b4114,b1037,b1038,b1039,b1040,b3207","putA,yrbL","b1014,b3207","emrD,qseC,qseB,fimB,cspI,tomB,hha,dgkA,waaH,arnF,arnE,arnT,arnD,arnA,arnC,arnB,eptA,csgG,csgF,csgE,csgD","b3673,b3026,b3025,b4312,b1552,b0461,b0460,b4042,b3615,b2258,b4544,b2257,b2256,b2255,b2254,b2253,b4114,b1037,b1038,b1039,b1040"
DNA-binding transcriptional activator GutM,GutM,gutM,b2706,gutM,TF,"srlA,srlE,srlB,srlD,gutM,srlR,gutQ","b2702,b2703,b2704,b2705,b2706,b2707,b2708",,,"srlA,srlE,srlB,srlD,gutM,srlR,gutQ","b2702,b2703,b2704,b2705,b2706,b2707,b2708"
DNA-binding transcriptional repressor YebK,YebK,yebK,b1853,yebK,TF,yebK,b1853,yebK,b1853,,
DNA-binding transcriptional dual regulator NanR,NanR,nanR,b3226,nanR,TF,"nanY,nanX,fimB,nanQ,nanK,nanE,nanT,nanA,nanS,nanM,nanC","b4280,b4279,b4312,b3221,b3222,b3223,b3224,b3225,b4309,b4310,b4311","nanY,nanX,nanQ,nanK,nanE,nanT,nanA,nanS,nanM,nanC","b4280,b4279,b3221,b3222,b3223,b3224,b3225,b4309,b4310,b4311",fimB,b4312
DNA-binding transcriptional repressor NikR-Ni<SUP>2+</SUP>,NikR,nikR,b3481,nikR,TF,"nikR,nikA,nikB,nikC,nikD,nikE","b3481,b3476,b3477,b3478,b3479,b3480","nikR,nikA,nikB,nikC,nikD,nikE","b3481,b3476,b3477,b3478,b3479,b3480",,
DNA-binding transcriptional dual regulator NarL-phosphorylated,NarL,narL,b1221,narL,TF,"ompW,ydeP,citG,citX,citF,citE,citD,citC,dpiA,dpiB,dmsD,ynfH,ynfG,ynfF,ynfE,ogt,ydhT,ydhU,ydhX,ydhW,ydhV,ydhY,ytfE,yeaR,yoaG,dcuR,dcuS,norW,norV,ubiC,ubiA,poxB,hcr,hcp,cydC,cydD,torC,torA,torD,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,dcuA,aspA,fdnG,fdnH,fdnI,fdhF,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,moeB,moeA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,pflB,focA,caiF,hybO,hybG,hybF,hybE,hybD,hybC,hybB,hybA,fumB,dcuB,adhE,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,nikR,nikA,nikB,nikC,nikD,nikE,dmsA,dmsB,dmsC,frdD,frdC,frdB,frdA,nirB,nirD,nirC,cysG,narS,narK,narG,narH,narJ,narI","b1256,b1501,b0613,b0614,b0615,b0616,b0617,b0618,b0620,b0619,b1591,b1590,b1589,b1588,b1587,b1335,b1669,b1670,b1671,b1672,b1673,b1674,b4209,b1797,b1796,b4124,b4125,b2711,b2710,b4039,b4040,b0871,b0872,b0873,b0886,b0887,b0996,b0997,b0998,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b4138,b4139,b1474,b1475,b1476,b4079,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b0826,b0827,b0972,b0973,b0974,b0975,b0976,b0977,b0903,b0904,b0034,b2997,b2990,b2991,b2992,b2993,b2994,b2995,b2996,b4122,b4123,b1241,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b3481,b3476,b3477,b3478,b3479,b3480,b0894,b0895,b0896,b4151,b4152,b4153,b4154,b3365,b3366,b3367,b3368,b4813,b1223,b1224,b1225,b1226,b1227","ompW,citG,citX,citF,citE,citD,citC,dpiA,dpiB,dmsD,ynfH,ynfG,ynfF,ynfE,ydhT,ydhU,ydhX,ydhW,ydhV,ydhY,dcuR,dcuS,norW,norV,ubiC,ubiA,torC,torA,torD,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,dcuA,aspA,fdhF,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,pflB,focA,caiF,hybO,hybG,hybF,hybE,hybD,hybC,hybB,hybA,fumB,dcuB,adhE,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,nikR,nikA,nikB,nikC,nikD,nikE,dmsA,dmsB,dmsC,frdD,frdC,frdB,frdA","b1256,b0613,b0614,b0615,b0616,b0617,b0618,b0620,b0619,b1591,b1590,b1589,b1588,b1587,b1669,b1670,b1671,b1672,b1673,b1674,b4124,b4125,b2711,b2710,b4039,b4040,b0996,b0997,b0998,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b4138,b4139,b4079,b0972,b0973,b0974,b0975,b0976,b0977,b0903,b0904,b0034,b2997,b2990,b2991,b2992,b2993,b2994,b2995,b2996,b4122,b4123,b1241,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b3481,b3476,b3477,b3478,b3479,b3480,b0894,b0895,b0896,b4151,b4152,b4153,b4154","ydeP,ogt,ytfE,yeaR,yoaG,poxB,hcr,hcp,cydC,cydD,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,fdnG,fdnH,fdnI,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,moeB,moeA,nirB,nirD,nirC,cysG,narS,narK,narG,narH,narJ,narI","b1501,b1335,b4209,b1797,b1796,b0871,b0872,b0873,b0886,b0887,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b1474,b1475,b1476,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b0826,b0827,b3365,b3366,b3367,b3368,b4813,b1223,b1224,b1225,b1226,b1227"
DNA-binding transcriptional dual regulator LeuO,LeuO,leuO,b0076,leuO,TF,"ybeQ,gltF,yghS,yghR,casA,casB,casC,casD,casE,cas1,cas2,dsrA,bglJ,yjjQ,cadC,bglB,bglF,bglG,leuO,leuD,leuC,leuB,leuA,leuL","b0644,b3214,b2985,b2984,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b1954,b4366,b4365,b4133,b3721,b3722,b3723,b0076,b0071,b0072,b0073,b0074,b0075","ybeQ,gltF,yghS,yghR,leuO,dsrA,cadC","b0644,b3214,b2985,b2984,b0076,b1954,b4133","casA,casB,casC,casD,casE,cas1,cas2,bglJ,yjjQ,bglB,bglF,bglG,leuO,leuD,leuC,leuB,leuA,leuL","b2760,b2759,b2758,b2757,b2756,b2755,b2754,b4366,b4365,b3721,b3722,b3723,b0076,b0071,b0072,b0073,b0074,b0075"
DNA-binding transcriptional regulator CreB-phosphorylated,CreB,creB,b4398,creB,TF,"recG,cbrB,cbrA,nudF,yqiB,cpdA,yqiA,parE,pta,ackA,talA,malH,malG,malF,malE,creD","b3652,b3716,b3690,b3034,b3033,b3032,b3031,b3030,b2297,b2296,b2464,b4807,b4032,b4033,b4034,b4400","malH,malG,malF,malE","b4807,b4032,b4033,b4034","recG,cbrB,cbrA,nudF,yqiB,cpdA,yqiA,parE,pta,ackA,talA,creD","b3652,b3716,b3690,b3034,b3033,b3032,b3031,b3030,b2297,b2296,b2464,b4400"
DNA-binding transcriptional activator UvrY-phosphorylated,UvrY,uvrY,b1914,uvrY,TF,"luxS,csrC,csrB,uhpT,ydeP","b2687,b4457,b4408,b3666,b1501",,,"luxS,csrC,csrB,uhpT,ydeP","b2687,b4457,b4408,b3666,b1501"
DNA-binding transcriptional dual regulator GalR,GalR,galR,b2837,galR,TF,"galP,mglC,mglA,mglB,galM,galK,galT,galE,galS","b2943,b2148,b2149,b2150,b0756,b0757,b0758,b0759,b2151","mglC,mglA,mglB,galM,galK,galT,galE,galS,galP,galR","b2148,b2149,b2150,b0756,b0757,b0758,b0759,b2151,b2943,b2837","galM,galK,galT,galE","b0756,b0757,b0758,b0759"
DNA-binding transcriptional dual regulator PhoB-phosphorylated,PhoB,phoB,b0399,phoB,TF,"pstB,pstA,pstC,pstS,ytfK,cra,adiC,tktB,gadW,gadX,ompF,phoU,phoQ,rcdB,yegH,hiuH,rspR,feaR,cusA,cusB,cusF,cusC,cusS,cusR,sbcD,sbcC,prpR,mipA,pitB,waaH,amn,argP,asr,eda,phoH,phnP,phnO,phnN,phnM,phnL,phnK,phnJ,phnI,phnH,phnG,phnF,phnE,phnD,phnC,phoE,psiE,ugpQ,ugpC,ugpE,ugpA,ugpB,phoB,phoR,phoA,psiF","b3725,b3726,b3727,b3728,b4217,b0080,b4115,b2465,b3515,b3516,b0929,b3724,b1129,b3521,b2063,b1970,b1540,b1384,b0575,b0574,b0573,b0572,b0570,b0571,b0398,b0397,b0330,b1782,b2987,b3615,b1982,b2916,b1597,b1850,b1020,b4092,b4093,b4094,b4095,b4096,b4097,b4098,b4099,b4100,b4101,b4102,b4583,b4105,b4106,b0241,b4030,b3449,b3450,b3451,b3452,b3453,b0399,b0400,b0383,b0384","cra,feaR,sbcD,sbcC,prpR,pitB,eda,ugpQ,ugpC,ugpE,ugpA,ugpB","b0080,b1384,b0398,b0397,b0330,b2987,b1850,b3449,b3450,b3451,b3452,b3453","pstB,pstA,pstC,pstS,ytfK,adiC,tktB,gadW,gadX,ompF,phoU,phoQ,rcdB,yegH,hiuH,rspR,cusA,cusB,cusF,cusC,cusS,cusR,mipA,waaH,amn,argP,asr,phoH,phnP,phnO,phnN,phnM,phnL,phnK,phnJ,phnI,phnH,phnG,phnF,phnE,phnD,phnC,phoE,psiE,ugpQ,ugpC,ugpE,ugpA,ugpB,phoB,phoR,phoA,psiF","b3725,b3726,b3727,b3728,b4217,b4115,b2465,b3515,b3516,b0929,b3724,b1129,b3521,b2063,b1970,b1540,b0575,b0574,b0573,b0572,b0570,b0571,b1782,b3615,b1982,b2916,b1597,b1020,b4092,b4093,b4094,b4095,b4096,b4097,b4098,b4099,b4100,b4101,b4102,b4583,b4105,b4106,b0241,b4030,b3449,b3450,b3451,b3452,b3453,b0399,b0400,b0383,b0384"
