"gene","Bnb","AncHa_rep1_0","AncHa_rep2_0","AncHb_rep1_0","AncHb_rep2_0","H03_10","H04_10","H06_10","H08_10","H10_10","H11_10","H03_30","H04_30","H06_30","H08_30","H10_30","H11_30"
"ltaE","b0870",7.15546403644609,7.1171776856325,7.57339556254364,7.63310209164712,7.3223830436628,7.81736035172479,7.35763100022555,7.50971991656655,7.71096972359516,7.57106403006631,7.35224475916906,8.38569165623277,7.48477566043656,7.56682675369668,7.53598996660853,7.519172429154
"poxB","b0871",4.90601234930347,5.02905787979855,6.96144880686672,6.71272057246513,6.17620253155764,8.14316973060081,6.20327805854886,6.40181084860315,7.12673995057033,5.11588171655964,6.02108144170654,9.16534312339098,7.50517417475097,5.84112572632427,7.43380324727354,6.47954412101954
"hcr","b0872",2.99045739756878,3.19067427145856,4.47367291222791,4.57973887266083,3.59872244341405,3.2309089363923,2.8168805413766,3.25526509257671,3.98747512094137,3.66114746318081,3.93085884643078,4.21085270472622,3.01848350739078,4.03790937739433,3.70713598979469,5.68544987205962
"hcp","b0873",3.08168687024886,3.32368905907956,3.46608198555011,3.43950961849344,3.17600167504131,2.79702922810338,2.96585257742896,3.43950961849344,3.08168687024886,3.68831970579774,3.55805844738929,3.35394574707262,3.2309089363923,4.00889987996701,3.24721011219785,4.10770701364237
"lysO","b0874",6.88132666789125,6.90632076017606,5.97996966787881,5.57227541877069,6.95980255818365,6.47267151977375,6.29039682366599,7.21309823248078,5.43948578091453,6.56754907373307,6.75208817911621,5.93731390939647,6.70993834071097,6.93093549538233,5.27980032843918,5.05638729671965
"aqpZ","b0875",5.42819712787091,5.43218504024306,4.21085270472622,4.28975978835539,5.89845647166831,5.17411526466428,5.82092175183165,4.55514657414357,5.04073055229518,4.79791315758709,5.21225495739315,5.69578834722746,5.51172783370248,4.25734170975935,5.1234967479384,4.20642147115086
"ybjD","b0876",6.39900209298215,6.48197925785918,6.87726105417822,6.82631781236546,6.59877406571931,6.21415686796825,6.10966072654165,6.41614088583824,7.25509079459602,6.77154354838199,6.65687816027451,6.66606828499354,6.40181084860315,6.7364196287431,7.44217897042128,7.45036880465707
"ybjX","b0877",8.88420723877538,8.82925635357243,8.66790019657413,8.61723357265388,8.83600852399229,8.37393247201442,8.62104543210153,9.07486262333851,8.46308106861558,9.25374617286301,8.69926666782618,9.57857480276425,9.4221119075021,9.15357295479738,7.99545790257513,8.772462537979
"macB","b0879",6.07697797933222,6.0244958964333,6.23619889619312,6.36001152429446,6.24659589885635,6.19562224228902,6.39535093526309,6.32589026375004,6.80269618620025,6.62678767387057,5.97335530905604,5.87239225438475,5.94633178013089,6.19040077572917,6.99002945848867,6.390479850492
"cspD","b0880",8.79362940549609,9.30071838558709,7.15315177723046,7.48053192451985,9.06005166741583,8.772462537979,9.02263745595126,6.96714932424514,7.46752922631314,7.59682092394198,8.49637973029178,8.11820289290312,8.05585499509366,7.12673995057033,7.83884088084836,7.44217897042128
"clpS","b0881",9.29630212786716,9.51435565921679,9.61145120777075,9.45683025409773,9.52520702148182,9.5805650550844,9.42461226229454,9.73241812552281,9.44582262229494,9.45143013617102,8.93727997928364,8.97985274233941,9.35044753939154,9.67560260679816,9.4221119075021,9.56541528954901
"clpA","b0882",10.5587301063701,10.6216048322067,10.5370696154861,10.4680535110573,10.9555701082789,10.8833412413866,10.7354549640782,10.2327623113069,10.3959474376655,10.1384349912262,9.62265861807769,10.2562416052852,10.104665288875,9.99076494975576,10.3685804449396,10.4409774918248
"aat","b0885",7.2024247763113,7.1152062729934,6.8978709715403,6.90327631372614,7.27353492278739,7.33446426760024,7.42631569708345,7.52950370958985,6.9244554780084,7.45901438408334,7.72207602772165,7.61928944503682,7.61302644019774,7.27133323715651,7.07269398146148,6.91424305322602
"cydC","b0886",7.33987443227744,7.13626079002036,7.80496058536336,7.751186523527,7.59824183507895,7.41302848883328,7.55661998647262,7.65702858393778,7.41130060234952,7.80496058536336,7.73157741532786,8.15392859665002,7.74713976142133,7.68114370542017,7.28975598847217,7.60377495734625
"cydD","b0887",7.3223830436628,7.31577037110699,7.65702858393778,7.59824183507895,7.54538753677178,7.54838370524687,7.65497499293748,7.83150578693971,7.3328459264284,7.76153835720444,7.91861267203037,7.98285454489723,7.69630547663525,7.75280370489724,7.68847873089207,7.40344922825878
"trxB","b0888",10.4710773998354,10.2363927747873,10.9893005749385,10.9141260923382,10.1132660249381,10.2665745352284,10.1584497730502,10.7635315392462,11.2554194836793,11.0245846704786,10.9141260923382,10.850070345511,10.359297674713,10.9683185388152,10.8396158862359,10.578003908654
"lrp","b0889",12.184319330442,12.4448832062154,11.4032971684405,11.5613910347057,12.3964454887225,12.5040653052172,12.5770674248477,11.929845268013,11.3482268516096,11.649561138662,11.5613910347057,11.2782168817476,11.9976464811702,11.6235913287472,12.107222939634,11.1857005458987
"lolA","b0891",10.578003908654,10.4710773998354,10.0462175079551,9.96515694883045,10.7309151669282,10.4880631372275,10.5141851060183,10.3346391159071,10.1132660249381,9.89106142181739,10.4343716831322,10.3765335924539,10.2665745352284,10.2625955146074,10.1890948454886,9.89381045983142
"rarA","b0892",8.64051572799218,8.55544437742586,7.84945716780694,7.91675063937266,8.70315198464362,8.29908950404048,8.54604790836194,8.60764051405684,7.65080993307617,8.03474699164483,8.23906698468393,8.3156811480803,8.24252081650647,8.52128604797744,7.71096972359516,7.50517417475097
"serS","b0893",11.1613425282604,11.1769329683828,11.60272417591,11.3785891187706,11.4032971684405,11.1373188314128,10.782941361248,11.4215235242774,10.7967144644094,11.0445623415248,10.4456197823195,10.9978269150131,10.6748664094886,11.529280279617,10.5719848713457,11.0245846704786
"dmsC","b0896",5.85870109569149,5.81642165862631,5.40997995113851,5.43948578091453,5.90971451343813,5.39365196068,5.87239225438475,5.27980032843918,5.9137613119784,5.90560441209533,5.89129740056573,7.2933578830412,5.49838153500728,5.90971451343813,6.57794333531007,7.1809004823165
"ycaC","b0897",5.16868732118863,5.63873472191108,8.95970185830419,8.73559397603999,6.44153840053728,6.95357990988726,6.31227057033941,6.43504475075141,8.3837719363317,5.8876329630366,7.07881535819611,9.20228276457293,9.17355943995655,7.03502372682337,8.72484565057935,8.7140559186063
