Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
yggW,5.787209796,6.101648354,5.773034264,6.037359728,5.631680005,6.120369123,5.418709707,5.808373844,6.180513206,6.017733262,6.224370723,4.909705941,5.585331681,4.999321272,5.206307953,5.251600636
yggX,6.51069803,5.685410075,6.561599028,7.26052958,7.088982859,6.404220725,7.000576064,7.031363287,6.351187207,7.489487015,7.806499434,7.308934459,6.84402801,6.816202283,6.030604675,6.188177322
yghA,4.157391144,5.817962722,4.14982584,3.016775207,4.573997918,5.447594079,4.011556086,3.861868594,5.161431492,5.081029324,6.000009834,4.694245566,4.793121272,2.591886932,4.965481514,5.204970672
yghB,5.76366756,6.050057808,6.065274484,5.909513873,5.661958245,6.199894648,6.120737712,5.838286798,5.986076142,5.891455778,5.936317225,6.094154403,6.26644657,5.723527127,5.891986672,6.247336961
yghD,4.197715722,3.958114667,3.56101847,3.75761511,3.583265651,3.555107581,3.801547892,3.944850066,4.693066287,3.680038619,2.84633096,1.465613515,3.974593628,3.853631148,4.038282236,4.9507478
yghG,6.147268999,7.256074014,6.955442146,7.068232209,7.164609954,7.54464779,5.612267332,6.228888475,8.192376538,7.17428758,5.833714899,5.020575496,6.034963943,6.493375804,7.266925032,7.243456497
yghJ,7.442624322,7.85851124,7.171810593,6.745428083,7.550592393,7.219068015,6.919363683,7.801008347,7.724125816,7.540617546,2.427015666,6.748291886,7.465258148,7.486488635,8.454801604,8.719509888
yghR,0.628140636,1.23831072,0.418440368,1.125382088,1.883826198,1.568660705,0.768474347,0.421805117,1.302268891,1.678187047,2.369523148,0,1.648171944,0.914277338,0.741312558,1.193598257
yghS,1.716123071,3.147727272,2.507891939,3.319202049,1.971395198,2.933770651,1.40997195,2.224424759,2.881179188,2.124354046,3.69273076,0.927766371,1.775415083,1.786117089,2.234016293,1.329136879
yghT,0.923184525,1.99180454,1.233269512,1.05590454,1.446312758,1.91525797,0.638975575,1.51587829,1.651253918,1.430063068,1.620506875,0,0.553387024,1.573396352,1.520168517,1.654509371
yghU,4.428764436,5.627218554,4.797304613,3.991110696,5.097481678,6.02094849,4.567729936,5.374117402,4.942193035,4.524509151,5.495132471,5.336945658,4.949340818,4.260318374,4.98209012,5.530303211
yghW,2.409642574,2.433974982,1.471728714,2.263553391,2.376320318,2.444061018,0.946330269,1.480259373,2.382629763,4.026281996,1.5835308,1.673568355,2.620968699,1.755925513,2.200495753,1.743188303
ygiB,8.093042395,8.542284229,7.931590139,7.96930325,8.086614494,8.012915681,7.924348485,8.366769125,7.629805676,7.818478245,8.488687882,8.512424837,7.869576973,7.824551194,8.072463013,8.049137476
ygiC,7.17100659,8.184967693,7.546745776,8.052550875,7.701830496,7.831766149,7.371906981,7.706716521,7.302247453,7.338194609,8.43477944,7.640068855,7.445431162,7.565944507,7.270951513,7.323549915
ygiD,2.339050625,2.666291457,1.57275318,1.405220783,1.741624752,2.219674016,2.258771785,2.671285818,2.348018523,1.592067878,2.190590331,0.428749327,2.313403061,2.866550939,3.395036719,3.531673218
ygiF,6.391273549,6.40921867,6.280982166,6.484008334,6.15443846,6.451082859,6.482002057,6.552261098,6.524449435,5.949345091,6.990004413,6.988616956,6.529670869,6.236730573,6.98062469,7.112274032
ygiM,5.815338777,7.250497969,6.306309444,7.350559302,6.434610156,7.175676309,5.414897118,6.400837855,6.681525553,6.587930752,8.836039552,5.56110402,6.026206029,5.677649856,6.295659794,6.48699202
